county,precinct,office,district,party,candidate,votes
Wayne,45,Governor,,MTN,Charlotte Jean Pritt,12
Wayne,45,Governor,,CON,Phil Hudok,5
Wayne,48,Governor,,REP,Bill Cole,213
Wayne,48,Governor,,DEM,Jim Justice,335
Wayne,48,Governor,,LIB,David Moran,11
Wayne,48,Governor,,MTN,Charlotte Jean Pritt,34
Wayne,48,Governor,,CON,Phil Hudok,5
Wayne,49,Governor,,REP,Bill Cole,273
Wayne,49,Governor,,DEM,Jim Justice,380
Wayne,49,Governor,,LIB,David Moran,11
Wayne,49,Governor,,MTN,Charlotte Jean Pritt,27
Wayne,49,Governor,,CON,Phil Hudok,0
Wayne,50,Governor,,REP,Bill Cole,152
Wayne,50,Governor,,DEM,Jim Justice,282
Wayne,50,Governor,,LIB,David Moran,6
Wayne,50,Governor,,MTN,Charlotte Jean Pritt,28
Wayne,50,Governor,,CON,Phil Hudok,2
Wayne,51,Governor,,REP,Bill Cole,201
Wayne,51,Governor,,DEM,Jim Justice,316
Wayne,51,Governor,,LIB,David Moran,7
Wayne,51,Governor,,MTN,Charlotte Jean Pritt,20
Wayne,51,Governor,,CON,Phil Hudok,4
Wayne,52,Governor,,REP,Bill Cole,89
Wayne,52,Governor,,DEM,Jim Justice,125
Wayne,52,Governor,,LIB,David Moran,5
Wayne,52,Governor,,MTN,Charlotte Jean Pritt,15
Wayne,52,Governor,,CON,Phil Hudok,1
Wayne,53,Governor,,REP,Bill Cole,200
Wayne,53,Governor,,DEM,Jim Justice,271
Wayne,53,Governor,,LIB,David Moran,6
Wayne,53,Governor,,MTN,Charlotte Jean Pritt,19
Wayne,53,Governor,,CON,Phil Hudok,3
Wayne,54,Governor,,REP,Bill Cole,113
Wayne,54,Governor,,DEM,Jim Justice,224
Wayne,54,Governor,,LIB,David Moran,4
Wayne,54,Governor,,MTN,Charlotte Jean Pritt,13
Wayne,54,Governor,,CON,Phil Hudok,0
Wayne,56,Governor,,REP,Bill Cole,257
Wayne,56,Governor,,DEM,Jim Justice,376
Wayne,56,Governor,,LIB,David Moran,8
Wayne,56,Governor,,MTN,Charlotte Jean Pritt,25
Wayne,56,Governor,,CON,Phil Hudok,4
Wayne,57,Governor,,REP,Bill Cole,147
Wayne,57,Governor,,DEM,Jim Justice,219
Wayne,57,Governor,,LIB,David Moran,3
Wayne,57,Governor,,MTN,Charlotte Jean Pritt,27
Wayne,57,Governor,,CON,Phil Hudok,1
Wayne,59,Governor,,REP,Bill Cole,160
Wayne,59,Governor,,DEM,Jim Justice,279
Wayne,59,Governor,,LIB,David Moran,14
Wayne,59,Governor,,MTN,Charlotte Jean Pritt,22
Wayne,59,Governor,,CON,Phil Hudok,1
Wayne,60,Governor,,REP,Bill Cole,147
Wayne,60,Governor,,DEM,Jim Justice,244
Wayne,60,Governor,,LIB,David Moran,8
Wayne,60,Governor,,MTN,Charlotte Jean Pritt,23
Wayne,60,Governor,,CON,Phil Hudok,4
Wayne,61,Governor,,REP,Bill Cole,120
Wayne,61,Governor,,DEM,Jim Justice,207
Wayne,61,Governor,,LIB,David Moran,6
Wayne,61,Governor,,MTN,Charlotte Jean Pritt,16
Wayne,61,Governor,,CON,Phil Hudok,1
Wayne,62,Governor,,REP,Bill Cole,229
Wayne,62,Governor,,DEM,Jim Justice,383
Wayne,62,Governor,,LIB,David Moran,7
Wayne,62,Governor,,MTN,Charlotte Jean Pritt,33
Wayne,62,Governor,,CON,Phil Hudok,3
Wayne,63,Governor,,REP,Bill Cole,95
Wayne,63,Governor,,DEM,Jim Justice,150
Wayne,63,Governor,,LIB,David Moran,5
Wayne,63,Governor,,MTN,Charlotte Jean Pritt,14
Wayne,63,Governor,,CON,Phil Hudok,1
Wayne,Total,Governor,,REP,Bill Cole,5824
Wayne,Total,Governor,,DEM,Jim Justice,8558
Wayne,Total,Governor,,LIB,David Moran,215
Wayne,Total,Governor,,MTN,Charlotte Jean Pritt,667
Wayne,Total,Governor,,CON,Phil Hudok,77
Wayne,1,Secretary of State,,REP,Mac Warner,340
Wayne,1,Secretary of State,,DEM,Natalie Tennant,289
Wayne,1,Secretary of State,,LIB,John S. Buckley,34
Wayne,5,Secretary of State,,REP,Mac Warner,231
Wayne,5,Secretary of State,,DEM,Natalie Tennant,223
Wayne,5,Secretary of State,,LIB,John S. Buckley,18
Wayne,6,Secretary of State,,REP,Mac Warner,86
Wayne,6,Secretary of State,,DEM,Natalie Tennant,112
Wayne,6,Secretary of State,,LIB,John S. Buckley,5
Wayne,11,Secretary of State,,REP,Mac Warner,89
Wayne,11,Secretary of State,,DEM,Natalie Tennant,157
Wayne,11,Secretary of State,,LIB,John S. Buckley,0
Wayne,12,Secretary of State,,REP,Mac Warner,96
Wayne,12,Secretary of State,,DEM,Natalie Tennant,169
Wayne,12,Secretary of State,,LIB,John S. Buckley,12
Wayne,13,Secretary of State,,REP,Mac Warner,176
Wayne,13,Secretary of State,,DEM,Natalie Tennant,248
Wayne,13,Secretary of State,,LIB,John S. Buckley,25
Wayne,14,Secretary of State,,REP,Mac Warner,374
Wayne,14,Secretary of State,,DEM,Natalie Tennant,366
Wayne,14,Secretary of State,,LIB,John S. Buckley,32
Wayne,16,Secretary of State,,REP,Mac Warner,97
Wayne,16,Secretary of State,,DEM,Natalie Tennant,149
Wayne,16,Secretary of State,,LIB,John S. Buckley,9
Wayne,17,Secretary of State,,REP,Mac Warner,178
Wayne,17,Secretary of State,,DEM,Natalie Tennant,182
Wayne,17,Secretary of State,,LIB,John S. Buckley,13
Wayne,18,Secretary of State,,REP,Mac Warner,157
Wayne,18,Secretary of State,,DEM,Natalie Tennant,185
Wayne,18,Secretary of State,,LIB,John S. Buckley,20
Wayne,19,Secretary of State,,REP,Mac Warner,266
Wayne,19,Secretary of State,,DEM,Natalie Tennant,246
Wayne,19,Secretary of State,,LIB,John S. Buckley,23
Wayne,20,Secretary of State,,REP,Mac Warner,137
Wayne,20,Secretary of State,,DEM,Natalie Tennant,204
